artigoEmPeriodico	2009	http://dx.doi.org/10.1007/s00371-009-0373-x	3D Face Computational Photography Using PCA Spaces	The Visual Computer	Mena-Chalco, Jesús P. ; Macêdo, Ives ; Velho, Luiz ; Cesar, Roberto M.	B1	
artigoEmPeriodico	2009	http://dx.doi.org/10.1590/S0104-65002009000400004	scriptLattes: an open-source knowledge extraction system from the Lattes platform	Journal of the Brazilian Computer Society (Impresso)	MENA-CHALCO, JESÚS PASCUAL ; JUNIOR, ROBERTO MARCONDES CESAR	B2	
artigoEmPeriodico	2009	http://dx.doi.org/10.1016/j.media.2008.05.005	A non-parametric vessel detection method for complex vascular structures	Medical Image Analysis (Print)	Qian, Xiaoning ; Dobrucki, Wawrzyniec L. ; Papademetris, Xenophon ; Jackowski, Marcel P. ; Brennan, Matthew P. ; Breuer, Christopher K. ; Sinusas, Albert J. ; Dione, Donald P.	A1	
artigoEmPeriodico	2009	http://dx.doi.org/10.1016/j.biopsych.2009.03.023	Functional and Structural Connectivity Between the Perigenual Anterior Cingulate and Amygdala in Bipolar Disorder	Biological Psychiatry (1969)	WANG, Fei ; KALMAR, J. H. ; HE Y. ; JACKOWSKI, M. ; CHEPENIK, L. ; EDMINSTON, E. ; TIE, K. ; GONG, G. ; SHAH. M. P. ; JONES, M. M. ; UDERMAN, J ; CONSTABLE, R Todd ; BLUMBERG, Hillary	Qualis nao identificado	Biological Psychiatry (1969)
artigoEmPeriodico	2009	http://dx.doi.org/10.1590/S0100-879X2009000700008	A Novel Polar-based Human Face Recognition Computational Model	Brazilian Journal of Medical and Biological Research (Impresso)	ZANA, Y. ; MENA-CHALCO, J. P. ; CESAR JUNIOR, R. M.	B2	
artigoEmPeriodico	2009	http://dx.doi.org/10.1007/s00406-009-0002-8	State-dependent microstructural white matter changes in bipolar I depression	European Archives of Psychiatry and Clinical Neuroscience (Internet)	Zanetti, Marcus V. ; Almeida, Jorge R. C. ; Versace, Amelia ; Phillips, Mary L. ; Hassel, Stefanie ; Busatto, Geraldo F. ; Kupfer, David J. ; Duran, FÃ bio L. S. ; Jackowski, Marcel P.	Qualis nao identificado	European Archives of Psychiatry and Clinical Neuroscience (Internet)
artigoEmPeriodico	2008	http://dx.doi.org/10.1016/j.pscychresns.2007.08.006	Corpus callosum in maltreated children with posttraumatic stress disorder: A diffusion tensor imaging study. Psychiatry Research	Neuroimaging (Print)	JACKOWSKI, A. P. ; DOUGLAS-PALUMBERI, H. ; JACKOWSKI, M. ; WINN, L. ; SCHULTZ, R. ; STAIB, L. H. ; Krystal, J. H. ; KAUFMAN, J.	A1	Psychiatry Research. Neuroimaging (Print)
artigoEmPeriodico	2008	http://dx.doi.org/10.1186/1471-2105-9-451	Feature selection environment for genomic applications	BMC Bioinformatics	Lopes, Fabricio M. ; Martins, David C. ; Cesar, Roberto M.	A1	
artigoEmPeriodico	2008	http://dx.doi.org/10.1109/JSTSP.2008.923841	Intrinsically Multivariate Predictive Genes	IEEE Journal of Selected Topics in Signal Processing	MARTINS, D. C. ; BRAGA-NETO, U. ; BITTNER, M. L. ; HASHIMOTO, R. F. ; DOUGHERTY, E. R.	A1	
artigoEmPeriodico	2008	http://dx.doi.org/10.1109/TCBB.2007.70259	Identification of protein coding regions using the modified Gabor-wavelet transform	IEEE/ACM Transactions on Computational Biology and Bioinformatics (Print)	MENA-CHALCO, J. P. ; CARRER, H. ; ZANA, Y. ; CESAR JUNIOR, R. M.	A2	
artigoEmPeriodico	2008	http://dx.doi.org/10.1186/1755-8794-1-29	Characterization of global transcription profile of normal and HPV-immortalized keratinocytes and their response to TNF treatment	BMC Medical Genomics	Termini, Lara ; Boccardo, Enrique ; Esteves, Gustavo H ; Hirata, Roberto ; Martins, Waleska K ; Colo, Anna ; Neves, E Jordão ; Villa, Luisa ; Reis, Luiz FL	B1	
artigoEmPeriodico	2008	http://dx.doi.org/10.1192/bjp.bp.107.048793	Abnormal anterior cingulum integrity in bipolar disorder determined through diffusion tensor imaging	British Journal of Psychiatry (Print)	WANG, Fei ; JACKOWSKI, M. ; KALMAR, J. H. ; CHEPENIK, L. ; TIE, K. ; QIU, Maolin ; PITTMAN, B. P. ; JONES, M. M. ; SHAH. M. P. ; SPENCER L. ; PAPADEMETRIS, X. ; CONSTABLE, R Todd ; BLUMBERG, Hillary	Qualis nao identificado	British Journal of Psychiatry (Print)
artigoEmPeriodico	2008	http://dx.doi.org/10.1016/j.biopsych.2008.06.001	Abnormal Corpus Callosum Integrity in Bipolar Disorder: A Diffusion Tensor Imaging Study	Biological Psychiatry (1969)	WANG, Fei ; KALMAR, J. H. ; EDMINSTON, E. ; CHEPENIK, L. ; SPENCER L. ; PITTMAN, B. P. ; JACKOWSKI, M. ; PAPADEMETRIS, X. ; CONSTABLE, R Todd ; BLUMBERG, Hillary	Qualis nao identificado	Biological Psychiatry (1969)
artigoEmPeriodico	2007	http://dx.doi.org/10.1186/1471-2105-8-169	A feature selection approach for identification of signature genes from SAGE data	BMC Bioinformatics	BARRERA, Junior ; CESAR JR, Roberto Marcondes ; Humes Jr ; MARTINS JR, David Corrêa ; PATRAO, D. F. C. ; SILVA, Paulo J S ; Bretani, H.	A1	
artigoEmPeriodico	2007		Optimal Clones Identifier for Genomic Shotgun Libraries: OC Identifier Tool	Genetics and Molecular Research	CANTAO, M. ; FERREIRA, J. E. ; LEMOS, E. G. M.	B2	
artigoEmPeriodico	2007	http://dx.doi.org/10.1109/TIP.2006.888358	An Exact Algorithm for Optimal MAE Stack Filter Design	IEEE Transactions on Image Processing	DELLAMONICA JUNIOR, D. ; SILVA, P. J. S. ; HUMES C. ; Hirata, N.S.T. ; BARRERA, J.	A1	
artigoEmPeriodico	2007		Prenatal and Adolescent Exposure to Tobacco Smoke Modulates the Development of White Matter Microstructure	The Journal of Neuroscience	JACOBSEN, L. K. ; PICCIOTTO, M. R. ; HEATH, C. J. ; FROST, S. J. ; JACKOWSKI, M. ; CONSTABLE, R Todd ; MENCL, W. E.	B1	
artigoEmPeriodico	2007	http://dx.doi.org/10.1364/JOSAA.24.001448	Automated segmentation of retinal blood vessels and identification of proliferative diabetic retinopathy. Journal of the Optical Society of America	A, Optics Image Science and Vision	Jelinek, Herbert F. ; Cree, Michael J. ; Leandro, Jorge J. G. ; Soares, João V. B. ; Cesar, Roberto M. ; Luckie, A.	Qualis nao identificado	A, Optics Image Science and Vision
